state,county,candidate,Party,votes,won
Delaware,Kent County,John Carney,D,44352,True
Delaware,Kent County,Julianne Murray,R,39332,False
Delaware,New Castle County,John Carney,D,191678,True
Delaware,New Castle County,Julianne Murray,R,82545,False
Delaware,Sussex County,Julianne Murray,R,68435,True
Delaware,Sussex County,John Carney,D,56873,False
Indiana,Adams County,Eric Holcomb,R,9441,True
Indiana,Adams County,Woody Myers,D,2143,False
Indiana,Allen County,Eric Holcomb,R,98406,True
Indiana,Allen County,Woody Myers,D,53895,False
Indiana,Bartholomew County,Eric Holcomb,R,21959,True
Indiana,Bartholomew County,Woody Myers,D,9013,False
Indiana,Benton County,Eric Holcomb,R,2815,True
Indiana,Benton County,Woody Myers,D,671,False
Indiana,Blackford County,Eric Holcomb,R,3333,True
Indiana,Blackford County,Woody Myers,D,933,False
Indiana,Boone County,Eric Holcomb,R,23737,True
Indiana,Boone County,Woody Myers,D,9661,False
Indiana,Brown County,Eric Holcomb,R,4953,True
Indiana,Brown County,Woody Myers,D,2381,False
Indiana,Carroll County,Eric Holcomb,R,6077,True
Indiana,Carroll County,Woody Myers,D,1569,False
Indiana,Cass County,Eric Holcomb,R,8833,True
Indiana,Cass County,Woody Myers,D,3373,False
Indiana,Clark County,Eric Holcomb,R,34669,True
Indiana,Clark County,Woody Myers,D,19077,False
Indiana,Clay County,Eric Holcomb,R,8164,True
Indiana,Clay County,Woody Myers,D,1780,False
Indiana,Clinton County,Eric Holcomb,R,7971,True
Indiana,Clinton County,Woody Myers,D,2406,False
Indiana,Crawford County,Eric Holcomb,R,3064,True
Indiana,Crawford County,Woody Myers,D,1242,False
Indiana,Daviess County,Eric Holcomb,R,8313,True
Indiana,Daviess County,Woody Myers,D,1531,False
Indiana,Dearborn County,Eric Holcomb,R,18353,True
Indiana,Dearborn County,Woody Myers,D,4559,False
Indiana,Decatur County,Eric Holcomb,R,7911,True
Indiana,Decatur County,Woody Myers,D,1562,False
Indiana,DeKalb County,Eric Holcomb,R,13042,True
Indiana,DeKalb County,Woody Myers,D,3293,False
Indiana,Delaware County,Eric Holcomb,R,26829,True
Indiana,Delaware County,Woody Myers,D,15638,False
Indiana,Dubois County,Eric Holcomb,R,14403,True
Indiana,Dubois County,Woody Myers,D,4586,False
Indiana,Elkhart County,Eric Holcomb,R,46223,True
Indiana,Elkhart County,Woody Myers,D,20512,False
Indiana,Fayette County,Eric Holcomb,R,6933,True
Indiana,Fayette County,Woody Myers,D,1707,False
Indiana,Floyd County,Eric Holcomb,R,24972,True
Indiana,Floyd County,Woody Myers,D,14948,False
Indiana,Fountain County,Eric Holcomb,R,5189,True
Indiana,Fountain County,Woody Myers,D,1150,False
Indiana,Franklin County,Eric Holcomb,R,8633,True
Indiana,Franklin County,Woody Myers,D,1690,False
Indiana,Fulton County,Eric Holcomb,R,5436,True
Indiana,Fulton County,Woody Myers,D,1603,False
Indiana,Gibson County,Eric Holcomb,R,11607,True
Indiana,Gibson County,Woody Myers,D,2990,False
Indiana,Grant County,Eric Holcomb,R,16847,True
Indiana,Grant County,Woody Myers,D,5849,False
Indiana,Greene County,Eric Holcomb,R,9579,True
Indiana,Greene County,Woody Myers,D,2511,False
Indiana,Hamilton County,Eric Holcomb,R,117749,True
Indiana,Hamilton County,Woody Myers,D,58714,False
Indiana,Hancock County,Eric Holcomb,R,25647,True
Indiana,Hancock County,Woody Myers,D,8538,False
Indiana,Harrison County,Eric Holcomb,R,14083,True
Indiana,Harrison County,Woody Myers,D,4514,False
Indiana,Hendricks County,Eric Holcomb,R,50697,True
Indiana,Hendricks County,Woody Myers,D,23179,False
Indiana,Henry County,Eric Holcomb,R,12491,True
Indiana,Henry County,Woody Myers,D,4128,False
Indiana,Howard County,Eric Holcomb,R,24359,True
Indiana,Howard County,Woody Myers,D,9871,False
Indiana,Huntington County,Eric Holcomb,R,11759,True
Indiana,Huntington County,Woody Myers,D,2804,False
Indiana,Jackson County,Eric Holcomb,R,11714,True
Indiana,Jackson County,Woody Myers,D,3234,False
Indiana,Jasper County,Eric Holcomb,R,10378,True
Indiana,Jasper County,Woody Myers,D,2904,False
Indiana,Jay County,Eric Holcomb,R,5227,True
Indiana,Jay County,Woody Myers,D,1240,False
Indiana,Jefferson County,Eric Holcomb,R,9076,True
Indiana,Jefferson County,Woody Myers,D,3711,False
Indiana,Jennings County,Eric Holcomb,R,7547,True
Indiana,Jennings County,Woody Myers,D,1930,False
Indiana,Johnson County,Eric Holcomb,R,47467,True
Indiana,Johnson County,Woody Myers,D,17630,False
Indiana,Knox County,Eric Holcomb,R,11210,True
Indiana,Knox County,Woody Myers,D,2809,False
Indiana,Kosciusko County,Eric Holcomb,R,23029,True
Indiana,Kosciusko County,Woody Myers,D,5784,False
Indiana,LaGrange County,Eric Holcomb,R,7520,True
