state,county,candidate,Party,votes,won
Delaware,Kent County,Joe Biden,D,44552,True
Delaware,Kent County,Donald Trump,R,41009,False
Delaware,New Castle County,Joe Biden,D,195034,True
Delaware,New Castle County,Donald Trump,R,88364,False
Delaware,Sussex County,Donald Trump,R,71230,True
Delaware,Sussex County,Joe Biden,D,56682,False
District of Columbia,District of Columbia,Joe Biden,D,39041,True
District of Columbia,District of Columbia,Donald Trump,R,1725,False
District of Columbia,Ward 2,Joe Biden,D,29078,True
District of Columbia,Ward 2,Donald Trump,R,2918,False
District of Columbia,Ward 3,Joe Biden,D,39397,True
District of Columbia,Ward 3,Donald Trump,R,3705,False
District of Columbia,Ward 4,Joe Biden,D,42489,True
District of Columbia,Ward 4,Donald Trump,R,1913,False
District of Columbia,Ward 5,Joe Biden,D,43320,True
District of Columbia,Ward 5,Donald Trump,R,1769,False
District of Columbia,Ward 6,Joe Biden,D,56719,True
District of Columbia,Ward 6,Donald Trump,R,4337,False
District of Columbia,Ward 7,Joe Biden,D,36382,True
District of Columbia,Ward 7,Donald Trump,R,1134,False
District of Columbia,Ward 8,Joe Biden,D,30897,True
District of Columbia,Ward 8,Donald Trump,R,1085,False
Florida,Alachua County,Joe Biden,D,89704,True
Florida,Alachua County,Donald Trump,R,50972,False
Florida,Baker County,Donald Trump,R,11911,True
Florida,Baker County,Joe Biden,D,2037,False
Florida,Bay County,Donald Trump,R,66097,True
Florida,Bay County,Joe Biden,D,25614,False
Florida,Bradford County,Donald Trump,R,10334,True
Florida,Bradford County,Joe Biden,D,3160,False
Florida,Brevard County,Donald Trump,R,207883,True
Florida,Brevard County,Joe Biden,D,148549,False
Florida,Broward County,Joe Biden,D,618752,True
Florida,Broward County,Donald Trump,R,333409,False
Florida,Calhoun County,Donald Trump,R,5274,True
Florida,Calhoun County,Joe Biden,D,1209,False
Florida,Charlotte County,Donald Trump,R,73243,True
Florida,Charlotte County,Joe Biden,D,42273,False
Florida,Citrus County,Donald Trump,R,65352,True
Florida,Citrus County,Joe Biden,D,27092,False
Florida,Clay County,Donald Trump,R,84480,True
Florida,Clay County,Joe Biden,D,38317,False
Florida,Collier County,Donald Trump,R,128950,True
Florida,Collier County,Joe Biden,D,77621,False
