state,county,candidate,Party,votes
Delaware,Kent County,Lauren Witzke,R,38571
Delaware,New Castle County,Lauren Witzke,R,80081
Delaware,Sussex County,Christopher Coons,D,56137
Georgia,Appling County,Jon Ossoff,D,1753
Georgia,Atkinson County,Jon Ossoff,D,773
Georgia,Bacon County,Jon Ossoff,D,591
Georgia,Baker County,Jon Ossoff,D,648
Georgia,Baldwin County,Jon Ossoff,D,8783
Georgia,Banks County,Jon Ossoff,D,899
Georgia,Barrow County,Jon Ossoff,D,10066
Georgia,Bartow County,Jon Ossoff,D,11664
Georgia,Ben Hill County,Jon Ossoff,D,2284
Georgia,Berrien County,Jon Ossoff,D,1204
Georgia,Bibb County,David Perdue,R,26645
Georgia,Bleckley County,Jon Ossoff,D,1249
Georgia,Brantley County,Jon Ossoff,D,688
Georgia,Brooks County,Jon Ossoff,D,2607
Georgia,Bryan County,Jon Ossoff,D,6497
Georgia,Bulloch County,Jon Ossoff,D,10846
Georgia,Burke County,Jon Ossoff,D,4989
Georgia,Butts County,Jon Ossoff,D,3129
Georgia,Calhoun County,David Perdue,R,933
Georgia,Camden County,Jon Ossoff,D,7467
Georgia,Candler County,Jon Ossoff,D,1233
Georgia,Carroll County,Jon Ossoff,D,15549
Georgia,Catoosa County,Jon Ossoff,D,6599
Georgia,Charlton County,Jon Ossoff,D,1016
Georgia,Chatham County,David Perdue,R,52988
Georgia,Chattahoochee County,Jon Ossoff,D,636
Georgia,Chattooga County,Jon Ossoff,D,1886
Georgia,Cherokee County,Jon Ossoff,D,39928
Georgia,Clarke County,David Perdue,R,15078
Georgia,Clay County,David Perdue,R,647
Georgia,Clayton County,David Perdue,R,14841
Georgia,Clinch County,Jon Ossoff,D,660
Georgia,Cobb County,David Perdue,R,169658
Georgia,Coffee County,Jon Ossoff,D,4281
Georgia,Colquitt County,Jon Ossoff,D,3990
Georgia,Columbia County,Jon Ossoff,D,27759
Georgia,Cook County,Jon Ossoff,D,1963
Georgia,Coweta County,Jon Ossoff,D,22915
Georgia,Crawford County,Jon Ossoff,D,1561
Georgia,Crisp County,Jon Ossoff,D,2809
Georgia,Dade County,Jon Ossoff,D,1253
Georgia,Dawson County,Jon Ossoff,D,2289
Georgia,Decatur County,Jon Ossoff,D,4563
Georgia,DeKalb County,David Perdue,R,61859
Georgia,Dodge County,Jon Ossoff,D,2021
Georgia,Dooly County,Jon Ossoff,D,1826
Georgia,Dougherty County,David Perdue,R,10588
Georgia,Douglas County,David Perdue,R,25002
Georgia,Early County,Jon Ossoff,D,2232
Georgia,Echols County,Jon Ossoff,D,162
Georgia,Effingham County,Jon Ossoff,D,7627
Georgia,Elbert County,Jon Ossoff,D,2717
Georgia,Emanuel County,Jon Ossoff,D,2720
Georgia,Evans County,Jon Ossoff,D,1251
Georgia,Fannin County,Jon Ossoff,D,2415
Georgia,Fayette County,Jon Ossoff,D,31477
Georgia,Floyd County,Jon Ossoff,D,11480
Georgia,Forsyth County,Jon Ossoff,D,39229
Georgia,Franklin County,Jon Ossoff,D,1465
Georgia,Fulton County,David Perdue,R,146466
Georgia,Gilmer County,Jon Ossoff,D,2715
Georgia,Glascock County,Jon Ossoff,D,150
Georgia,Glynn County,Jon Ossoff,D,14938
Georgia,Gordon County,Jon Ossoff,D,4182
