Platform,Party,Max Total Followers,Total Posts,Average Post Favorites/Reactions,Average Post Retweets/Shares
facebook,R,22404.0,325.0,108,35
facebook,R,57405.0,677.0,177,23
facebook,R,140238.0,57.0,2197,495
facebook,R,9376.0,89.0,118,18
facebook,D,19146.0,612.0,54,10
facebook,D,11086.0,317.0,137,15
facebook,R,147433.0,673.0,76,14
facebook,R,69133.0,1347.0,503,180
facebook,R,45163.0,568.0,148,26
facebook,D,21259.0,1409.0,102,9
facebook,R,8721.0,954.0,92,11
facebook,D,8354.0,1047.0,63,7
facebook,D,12601.0,264.0,72,17
facebook,D,51637.0,408.0,318,30
facebook,R,64427.0,584.0,198,22
facebook,R,35325.0,1651.0,48,15
facebook,D,227783.0,645.0,1016,440
facebook,R,27914.0,83.0,491,49
facebook,D,170627.0,602.0,438,54
facebook,R,40983.0,699.0,96,15
facebook,R,147926.0,1679.0,635,96
facebook,R,8328.0,378.0,120,15
facebook,R,6687.0,87.0,115,12
facebook,D,10568.0,279.0,80,19
facebook,R,77654.0,1527.0,82,45
facebook,R,56647.0,370.0,302,55
facebook,R,35115.0,359.0,177,26
facebook,D,163858.0,1751.0,448,84
facebook,D,53144.0,875.0,85,26
facebook,R,52824.0,533.0,231,74
facebook,R,28665.0,592.0,69,12
facebook,D,79667.0,325.0,265,30
facebook,D,23675.0,679.0,88,8
facebook,D,45552.0,1095.0,196,39
facebook,R,49197.0,686.0,129,31
facebook,R,40397.0,376.0,68,8
facebook,D,21126.0,1191.0,84,10
facebook,D,52066.0,1491.0,104,14
facebook,D,32702.0,401.0,82,7
facebook,D,2334224.0,1505.0,1424,155
facebook,R,47325.0,2930.0,178,55
facebook,R,66355.0,1159.0,194,55
facebook,D,39886.0,1408.0,235,54
facebook,R,38210.0,905.0,251,40
facebook,D,14727.0,585.0,99,10
facebook,R,32008.0,434.0,138,24
facebook,R,12780.0,2166.0,82,6
facebook,R,24402.0,1301.0,163,31
facebook,D,8331.0,896.0,93,13
facebook,R,21754.0,638.0,255,36
facebook,R,33819.0,1741.0,257,52
facebook,D,23097.0,321.0,179,29
facebook,D,46131.0,547.0,94,21
facebook,R,34349.0,1174.0,174,26
facebook,R,4445.0,402.0,42,4
facebook,R,7352.0,420.0,41,5
facebook,D,28763.0,1753.0,114,11
facebook,R,15492.0,483.0,215,31
facebook,R,67710.0,634.0,468,53
facebook,R,10618.0,57.0,372,113
facebook,R,23929.0,201.0,253,54
facebook,D,55448.0,398.0,425,49
facebook,D,37221.0,366.0,231,30
facebook,D,20215.0,477.0,105,11
facebook,R,14852.0,507.0,76,6
facebook,D,50538.0,660.0,117,25
facebook,D,20323.0,495.0,97,16
facebook,R,14294.0,513.0,77,10
facebook,D,153157.0,178.0,772,83
facebook,R,106603.0,1033.0,199,19
facebook,R,72825.0,1752.0,129,21
facebook,D,3183.0,367.0,77,15
facebook,R,43204.0,1095.0,62,14
facebook,R,27766.0,469.0,65,13
facebook,D,1287.0,661.0,23,2
facebook,R,524629.0,1359.0,442,71
